date,ndvi
2000-02-18,0.7059596650137153
2000-03-05,0.740227519230178
2000-03-21,0.7568847786071838
2000-04-06,0.7677040015193045
2000-04-22,0.7415346957324458
2000-05-08,0.7144854169677249
2000-05-24,0.6619583543185288
2000-06-09,0.6636615659416812
2000-06-25,0.6150668985895901
2000-07-11,0.6223327900477668
2000-07-27,0.5141026069020963
2000-08-12,0.5234555796138415
2000-08-28,0.38043619308432297
2000-09-13,0.5622065518817981
2000-09-29,0.6060612744784503
2000-10-15,0.5659782329636941
2000-10-31,0.47725323843944706
2000-11-16,0.7079999419613274
2000-12-02,0.7157436969103046
2000-12-18,0.6672937987367044
2001-01-01,0.7146087812115791
2001-01-17,0.7300598454513075
2001-02-02,0.7365487805686988
2001-02-18,0.7018838664717797
2001-03-06,0.6886557659104952
2001-03-22,0.7484264427666831
2001-04-07,0.7336240027985529
2001-04-23,0.7327479289211923
2001-05-09,0.7262186878390121
2001-05-25,0.7183684776712009
2001-06-10,0.7007360780309705
2001-06-26,0.6401571713300002
2001-07-12,0.623031191303641
2001-07-28,0.6086972992863854
2001-08-13,0.5712483816328421
2001-08-29,0.5436928914873947
2001-09-14,0.3262668545266034
2001-09-30,0.5754914012424502
2001-10-16,0.6144181503969225
2001-11-01,0.6600190253925114
2001-11-17,0.7930633745973815
2001-12-03,0.7490573866584114
2001-12-19,0.5899701823501945
2002-01-01,0.7510808440127569
2002-01-17,0.7236094775966779
2002-02-02,0.7175962562254772
2002-02-18,0.7262985829564684
2002-03-06,0.7285358371848972
2002-03-22,0.6832739827928571
2002-04-07,0.7294843054433581
2002-04-23,0.7165200318390621
2002-05-09,0.7004844220760311
2002-05-25,0.7080549692862043
2002-06-10,0.6788028427733156
2002-06-26,0.6546219740059974
2002-07-12,0.6219448798099136
2002-07-28,0.5916074929187312
2002-08-13,0.5621018961298017
2002-08-29,0.5347702883598702
2002-09-14,0.49308039528762965
2002-09-30,0.5785843277117496
2002-10-16,0.5646203047452999
2002-11-01,0.5246974061846326
2002-11-17,0.7144395157284804
2002-12-03,0.6405848227491356
2002-12-19,0.7108349771117624
2003-01-01,0.6719440933882632
2003-01-17,0.7317770559311175
2003-02-02,0.7384581537450786
2003-02-18,0.7284838598386414
2003-03-06,0.6682158114599471
2003-03-22,0.7489658979333843
2003-04-07,0.6933951951603373
2003-04-23,0.7450415994864062
2003-05-09,0.6922026407784787
2003-05-25,0.653606176714687
2003-06-10,0.6497478167895775
2003-06-26,0.612340708040074
2003-07-12,0.5674204196407217
2003-07-28,0.5690360781099356
2003-08-13,0.5310507731158933
2003-08-29,0.5071621904831853
2003-09-14,0.5259128358322108
2003-09-30,0.44940970878156394
2003-10-16,0.521618741772738
